lambda  n   fit
4.920299999999999727e+02 1.126400000000000006e+02 0.000000000000000000e+00
4.921000000000000227e+02 -2.049999999999999822e+00 0.000000000000000000e+00
4.921600000000000250e+02 5.325000000000000000e+01 0.000000000000000000e+00
4.922300000000000182e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.923000000000000114e+02 -1.842999999999999972e+01 0.000000000000000000e+00
4.923600000000000136e+02 -7.373000000000000398e+01 0.000000000000000000e+00
4.924300000000000068e+02 4.096000000000000085e+01 0.000000000000000000e+00
4.925000000000000000e+02 -1.637999999999999901e+01 0.000000000000000000e+00
4.925600000000000023e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.926299999999999955e+02 -5.734000000000000341e+01 0.000000000000000000e+00
4.926999999999999886e+02 3.482000000000000028e+01 0.000000000000000000e+00
4.927599999999999909e+02 -6.962999999999999545e+01 0.000000000000000000e+00
4.928299999999999841e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.928899999999999864e+02 -8.189999999999999503e+00 0.000000000000000000e+00
4.929599999999999795e+02 3.890999999999999659e+01 0.000000000000000000e+00
4.930299999999999727e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.930899999999999750e+02 -4.300999999999999801e+01 0.000000000000000000e+00
4.931600000000000250e+02 -4.914999999999999858e+01 0.000000000000000000e+00
4.932300000000000182e+02 -2.662000000000000099e+01 0.000000000000000000e+00
4.932900000000000205e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.933600000000000136e+02 0.000000000000000000e+00 0.000000000000000000e+00
4.934300000000000068e+02 5.939000000000000057e+01 0.000000000000000000e+00
4.934900000000000091e+02 -2.662000000000000099e+01 0.000000000000000000e+00
4.935600000000000023e+02 8.396999999999999886e+01 0.000000000000000000e+00
4.936299999999999955e+02 6.757999999999999829e+01 0.000000000000000000e+00
4.936899999999999977e+02 6.139999999999999680e+00 0.000000000000000000e+00
4.937599999999999909e+02 3.071999999999999886e+01 0.000000000000000000e+00
4.938199999999999932e+02 -4.300999999999999801e+01 0.000000000000000000e+00
4.938899999999999864e+02 3.071999999999999886e+01 0.000000000000000000e+00
4.939599999999999795e+02 -4.099999999999999645e+00 0.000000000000000000e+00
4.940199999999999818e+02 -5.529999999999999716e+01 0.000000000000000000e+00
4.940899999999999750e+02 -4.914999999999999858e+01 0.000000000000000000e+00
4.941600000000000250e+02 -8.189999999999999503e+00 0.000000000000000000e+00
4.942200000000000273e+02 -2.457999999999999829e+01 0.000000000000000000e+00
4.942900000000000205e+02 -6.139999999999999680e+00 0.000000000000000000e+00
4.943600000000000136e+02 1.228999999999999915e+01 0.000000000000000000e+00
4.944200000000000159e+02 7.576999999999999602e+01 0.000000000000000000e+00
4.944900000000000091e+02 1.024000000000000057e+02 0.000000000000000000e+00
4.945500000000000114e+02 5.939000000000000057e+01 0.000000000000000000e+00
4.946200000000000045e+02 -1.637999999999999901e+01 0.000000000000000000e+00
4.946899999999999977e+02 1.842999999999999972e+01 0.000000000000000000e+00
4.947500000000000000e+02 -7.576999999999999602e+01 0.000000000000000000e+00
4.948199999999999932e+02 2.867000000000000171e+01 0.000000000000000000e+00
4.948899999999999864e+02 -2.457999999999999829e+01 0.000000000000000000e+00
4.949499999999999886e+02 2.457999999999999829e+01 0.000000000000000000e+00
4.950199999999999818e+02 4.300999999999999801e+01 0.000000000000000000e+00
