t   ch1 fitch1  ch2 fitch2  ch3
1.534000000000000696e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.325426532611116268e-95 3.119999999999999929e+01
1.544000000000001149e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 7.626947779534720299e-81 3.039999999999999858e+01
1.554000000000000714e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.182494381498079809e-67 3.119999999999999929e+01
1.564000000000001167e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 1.239345221833140562e-55 3.119999999999999929e+01
1.574000000000000732e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 8.780725595602087481e-45 3.039999999999999858e+01
1.584000000000001185e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.205459081387750123e-35 3.039999999999999858e+01
1.594000000000000750e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.361574207260800883e-26 3.119999999999999929e+01
1.604000000000001203e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.979985272577191318e-19 3.119999999999999929e+01
1.614000000000000767e+00 4.400000000000000355e+00 3.834031497472692340e+00 4.000000000000000222e-01 4.408915927272035052e-13 3.039999999999999858e+01
1.624000000000001220e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 4.409551456422343336e-08 3.119999999999999929e+01
1.634000000000001007e+00 4.400000000000000355e+00 3.834031497472692340e+00 4.000000000000000222e-01 2.981274120360981935e-04 3.039999999999999858e+01
1.644000000000001460e+00 5.200000000000000178e+00 3.834031497472692340e+00 2.000000000000000111e-01 1.362555819988769956e-01 3.039999999999999858e+01
1.654000000000001025e+00 4.400000000000000355e+00 3.834031497472692340e+00 4.200000000000000178e+00 4.209704327944754354e+00 3.200000000000000000e+01
1.664000000000001478e+00 5.200000000000000178e+00 3.834031497472692340e+00 8.800000000000000711e+00 8.792123552001445574e+00 3.039999999999999858e+01
1.674000000000001043e+00 4.400000000000000355e+00 3.834031497472692340e+00 1.199999999999999956e+00 1.241311756789300169e+00 3.200000000000000000e+01
1.684000000000001496e+00 5.200000000000000178e+00 3.834031497472692340e+00 1.199999999999999956e+00 1.184712178247929182e-02 3.200000000000000000e+01
1.694000000000001060e+00 4.400000000000000355e+00 3.834031497472692340e+00 2.000000000000000111e-01 7.643455380212377514e-06 3.039999999999999858e+01
1.704000000000000625e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 3.333584854256698808e-10 3.200000000000000000e+01
1.714000000000001078e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 9.828295184852384854e-16 3.119999999999999929e+01
1.724000000000000643e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.958798518401827682e-22 3.200000000000000000e+01
1.734000000000001096e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.639041621913374228e-30 3.119999999999999929e+01
1.744000000000000661e+00 4.400000000000000355e+00 3.834031497472692340e+00 0.000000000000000000e+00 2.403519281675820037e-39 3.200000000000000000e+01
1.754000000000001114e+00 5.200000000000000178e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.479768843385412298e-49 3.119999999999999929e+01
1.764000000000000901e+00 5.200000000000000178e+00 3.834031497472692340e+00 0.000000000000000000e+00 6.158643217070331487e-61 3.200000000000000000e+01
1.774000000000001354e+00 4.400000000000000355e+00 3.834031497472692340e+00 4.000000000000000222e-01 1.732690958876286956e-73 3.119999999999999929e+01
