t ch1 ch2 ch3
224 4.00e-04 0.00e+00 -3.84e+01
225 -4.00e-04 4.00e-04 -4.00e+01
226 4.00e-04 0.00e+00 -3.92e+01
227 0.00e+00 4.00e-04 -3.84e+01
228 4.00e-04 4.00e-04 -3.92e+01
229 0.00e+00 0.00e+00 -3.76e+01
230 0.00e+00 0.00e+00 -3.84e+01
231 1.20e-03 4.00e-04 -3.68e+01
232 4.00e-04 0.00e+00 -3.76e+01
233 -4.00e-04 4.00e-04 -3.68e+01
234 0.00e+00 0.00e+00 -3.76e+01
235 1.20e-03 4.00e-04 -3.68e+01
236 4.00e-04 0.00e+00 -3.76e+01
237 0.00e+00 4.00e-04 -3.60e+01
238 0.00e+00 0.00e+00 -3.60e+01
239 4.00e-04 4.00e-04 -3.68e+01
240 1.20e-03 0.00e+00 -3.60e+01
241 0.00e+00 4.00e-04 -3.68e+01
242 0.00e+00 0.00e+00 -3.68e+01
243 8.00e-04 4.00e-04 -3.44e+01
244 8.00e-04 4.00e-04 -3.52e+01
245 0.00e+00 0.00e+00 -3.44e+01
246 0.00e+00 0.00e+00 -3.52e+01
247 1.20e-03 4.00e-04 -3.44e+01
248 8.00e-04 0.00e+00 -3.52e+01
249 -4.00e-04 4.00e-04 -3.36e+01
250 0.00e+00 0.00e+00 -3.44e+01
251 1.20e-03 4.00e-04 -3.36e+01
252 4.00e-04 4.00e-04 -3.44e+01
253 -4.00e-04 0.00e+00 -3.36e+01
254 0.00e+00 4.00e-04 -3.44e+01
255 8.00e-04 0.00e+00 -3.20e+01
256 0.00e+00 4.00e-04 -3.20e+01
257 1.20e-03 0.00e+00 -3.28e+01
258 0.00e+00 0.00e+00 -3.28e+01
259 1.20e-03 4.00e-04 -3.20e+01
260 0.00e+00 4.00e-04 -3.28e+01
261 8.00e-04 0.00e+00 -3.12e+01
262 0.00e+00 4.00e-04 -3.20e+01
263 1.20e-03 0.00e+00 -3.12e+01
264 0.00e+00 4.00e-04 -3.12e+01
265 1.20e-03 0.00e+00 -3.20e+01
266 0.00e+00 0.00e+00 -3.20e+01
267 8.00e-04 4.00e-04 -2.96e+01
268 4.00e-04 0.00e+00 -3.04e+01
269 -4.00e-04 4.00e-04 -2.96e+01
270 8.00e-04 4.00e-04 -3.04e+01
271 0.00e+00 0.00e+00 -2.96e+01
272 -4.00e-04 0.00e+00 -3.04e+01
273 8.00e-04 4.00e-04 -2.88e+01
274 1.20e-03 4.00e-04 -2.96e+01
275 0.00e+00 0.00e+00 -2.88e+01
276 1.20e-03 0.00e+00 -2.88e+01
277 -4.00e-04 4.00e-04 -2.96e+01
278 0.00e+00 0.00e+00 -2.96e+01
