t   ch2 ch3 fit
-4.425999999999999268e+00 4.000000000000000222e-01 -4.400000000000000000e+01 0.000000000000000000e+00
-4.415999999999999481e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-4.405999999999999694e+00 4.000000000000000222e-01 -4.560000000000000142e+01 0.000000000000000000e+00
-4.395999999999999908e+00 4.000000000000000222e-01 -4.639999999999999858e+01 0.000000000000000000e+00
-4.385999999999999233e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-4.375999999999999446e+00 4.000000000000000222e-01 -4.560000000000000142e+01 0.000000000000000000e+00
-4.365999999999999659e+00 0.000000000000000000e+00 -4.639999999999999858e+01 0.000000000000000000e+00
-4.355999999999999872e+00 4.000000000000000222e-01 -4.560000000000000142e+01 0.000000000000000000e+00
-4.345999999999999197e+00 0.000000000000000000e+00 -4.639999999999999858e+01 0.000000000000000000e+00
-4.335999999999999410e+00 4.000000000000000222e-01 -4.560000000000000142e+01 0.000000000000000000e+00
-4.325999999999999623e+00 0.000000000000000000e+00 -4.720000000000000284e+01 0.000000000000000000e+00
-4.315999999999999837e+00 4.000000000000000222e-01 -4.560000000000000142e+01 0.000000000000000000e+00
-4.305999999999999162e+00 0.000000000000000000e+00 -4.720000000000000284e+01 0.000000000000000000e+00
-4.295999999999999375e+00 4.000000000000000222e-01 -4.720000000000000284e+01 0.000000000000000000e+00
-4.285999999999999588e+00 0.000000000000000000e+00 -4.560000000000000142e+01 0.000000000000000000e+00
-4.275999999999999801e+00 4.000000000000000222e-01 -4.720000000000000284e+01 0.000000000000000000e+00
-4.265999999999999126e+00 0.000000000000000000e+00 -4.639999999999999858e+01 0.000000000000000000e+00
-4.255999999999999339e+00 4.000000000000000222e-01 -4.720000000000000284e+01 0.000000000000000000e+00
-4.245999999999999552e+00 0.000000000000000000e+00 -4.560000000000000142e+01 0.000000000000000000e+00
-4.235999999999998877e+00 0.000000000000000000e+00 -4.720000000000000284e+01 0.000000000000000000e+00
-4.225999999999999979e+00 4.000000000000000222e-01 -4.560000000000000142e+01 0.000000000000000000e+00
-4.215999999999999304e+00 0.000000000000000000e+00 -4.639999999999999858e+01 0.000000000000000000e+00
-4.205999999999999517e+00 4.000000000000000222e-01 -4.560000000000000142e+01 0.000000000000000000e+00
-4.195999999999998842e+00 0.000000000000000000e+00 -4.560000000000000142e+01 0.000000000000000000e+00
-4.185999999999999943e+00 4.000000000000000222e-01 -4.639999999999999858e+01 0.000000000000000000e+00
-4.175999999999999268e+00 0.000000000000000000e+00 -4.560000000000000142e+01 0.000000000000000000e+00
-4.165999999999999481e+00 4.000000000000000222e-01 -4.639999999999999858e+01 0.000000000000000000e+00
-4.155999999999999694e+00 4.000000000000000222e-01 -4.560000000000000142e+01 0.000000000000000000e+00
-4.145999999999999908e+00 0.000000000000000000e+00 -4.639999999999999858e+01 0.000000000000000000e+00
-4.135999999999999233e+00 4.000000000000000222e-01 -4.639999999999999858e+01 0.000000000000000000e+00
-4.125999999999999446e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-4.115999999999999659e+00 4.000000000000000222e-01 -4.639999999999999858e+01 0.000000000000000000e+00
-4.105999999999998984e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-4.095999999999999197e+00 0.000000000000000000e+00 -4.479999999999999716e+01 0.000000000000000000e+00
-4.085999999999999410e+00 4.000000000000000222e-01 -4.400000000000000000e+01 0.000000000000000000e+00
-4.075999999999999623e+00 0.000000000000000000e+00 -4.479999999999999716e+01 0.000000000000000000e+00
-4.065999999999998948e+00 4.000000000000000222e-01 -4.400000000000000000e+01 0.000000000000000000e+00
-4.056000000000000050e+00 4.000000000000000222e-01 -4.479999999999999716e+01 0.000000000000000000e+00
-4.045999999999999375e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-4.035999999999999588e+00 4.000000000000000222e-01 -4.479999999999999716e+01 0.000000000000000000e+00
-4.025999999999999801e+00 0.000000000000000000e+00 -4.320000000000000284e+01 0.000000000000000000e+00
-4.016000000000000014e+00 4.000000000000000222e-01 -4.320000000000000284e+01 0.000000000000000000e+00
-4.005999999999999339e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-3.995999999999999552e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-3.985999999999999766e+00 4.000000000000000222e-01 -4.320000000000000284e+01 0.000000000000000000e+00
-3.975999999999999535e+00 0.000000000000000000e+00 -4.400000000000000000e+01 0.000000000000000000e+00
-3.965999999999998860e+00 4.000000000000000222e-01 -4.239999999999999858e+01 0.000000000000000000e+00
